rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,8890761,36.97,474.39,0,0,-74.18,2344.8,32.4,-2.0,-10.1,-40.3,1.0,99,99,99,99,100.0,1,1,1,1,1,5,3089936980.32,65423184.0,0.1759,0.391,7065014,8992976,4,99.2,-0.5,2026-07-30
2,ERAS,Healthcare,Biotechnology,NASDAQ,5677563,17.72,458.15,0,0,-27.02,1243.9,82.0,-1.0,-1.3,18.0,72.5,99,99,99,99,99.9,1,1,1,1,1,5,6633604594.889999,347127399.0,0.09819999,,4373901,5411156,4,99.2,-0.5,2026-07-30
3,DBGI,Consumer Cyclical,Apparel Retail,NASDAQ,879225,12.01,401.05,98,98,-36.79,4793.1,70.4,60.4,195.6,496.2,168.5,99,1,1,95,31.9,1,0,0,0,0,1,7412830.2,574638.0,0.1104,-0.297,543555,6346629,1,32.2,-34.3,2026-07-30
4,QTTB,Healthcare,Biotechnology,NASDAQ,1885097,14.64,396.0,0,-4,-37.89,854.6,70.5,2.2,3.6,21.3,142.9,99,99,95,94,99.3,1,1,0,0,1,3,450088532.1,29708814.0,0.1522,,874472,1787754,4,96.8,1.3,2026-07-30
5,FBRX,Healthcare,Biotechnology,NASDAQ,1661737,76.53,394.62,39,75,22.53,701.0,100.0,23.2,59.4,150.8,194.9,99,60,96,98,99.1,1,0,0,1,1,3,1121829595.26,20478817.0,0.1013,,3213483,1101864,3,88.3,-30.8,2026-07-30
6,EVC,Communication Services,Advertising Agencies,NYSE,1800547,11.04,379.41,0,-7,-19.65,486.9,83.8,6.7,2.7,11.1,129.0,99,99,92,88,97.9,1,1,0,0,0,2,982978442.4,92039180.0,0.1302,1.144,1414522,2151526,3,94.2,3.4,2026-07-30
7,CLYM,Healthcare,Biotechnology,NASDAQ,1381234,12.11,353.48,0,0,-15.99,762.9,84.8,-3.7,-6.8,-0.1,72.1,99,99,99,98,99.5,1,1,1,1,1,5,735257215.3199999,57263023.0,0.1694,,1018034,1292536,4,98.9,-0.0,2026-07-30
8,SLS,Healthcare,Biotechnology,NASDAQ,10122582,10.1,337.77,0,-3,-36.4,640.3,63.3,-11.0,-17.2,-1.3,91.9,99,99,96,97,98.9,1,1,0,0,1,3,2225880737.68,196632574.0,0.2823,,7499248,10099519,4,97.7,0.8,2026-07-30
9,SYRE,Healthcare,Biotechnology,NASDAQ,1608500,97.87,289.93,0,-1,-6.87,584.9,98.6,1.4,4.0,16.6,95.2,99,99,98,92,98.8,1,1,1,0,1,4,8869097168.89,86841253.0,0.1542,,940260,1374170,4,97.0,1.6,2026-07-30
10,ALMS,Healthcare,Biotechnology,NASDAQ,1541058,26.38,288.52,0,0,-15.85,632.9,94.9,2.9,2.7,16.6,45.8,99,99,99,99,99.2,1,1,1,1,1,5,3569775440.0,127491980.0,0.094399996,-0.9,912515,1405947,4,99.0,-0.1,2026-07-30
11,DMRA,Healthcare,Biotechnology,NASDAQ,805046,28.33,285.8,1,2,-26.08,1032.2,84.4,-3.2,-2.4,13.0,23.3,99,98,99,99,99.6,1,1,1,1,1,5,1773963051.08,61553194.0,0.088999994,,444529,631717,4,98.9,-1.1,2026-07-30
12,LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,2043843,86.82,279.64,1,-6,-4.7,391.0,96.9,2.7,6.9,19.3,94.5,99,98,91,96,97.6,1,1,0,0,0,2,7667380695.78,88928099.0,0.1723,41.585,1493020,1968164,4,95.7,1.3,2026-07-30
13,STTK,Healthcare,Biotechnology,NASDAQ,1661440,6.76,278.89,1,2,-18.85,882.2,90.3,1.4,3.0,19.1,50.4,99,98,99,98,99.7,1,1,1,1,1,5,709625665.9499999,95508165.0,0.0848,,1336672,1414138,4,98.7,-1.0,2026-07-30
14,ANRO,Healthcare,Biotechnology,NYSE,658407,26.72,278.49,0,0,-7.38,838.7,100.0,5.3,6.1,19.9,47.2,99,99,99,99,99.8,1,1,1,1,1,5,1040948669.28,38870376.0,0.0935,,449913,532272,4,99.2,-0.4,2026-07-30
15,ORKA,Healthcare,Biotechnology,NASDAQ,1521833,88.07,274.77,0,-1,-9.93,649.9,100.0,6.1,10.2,26.8,101.1,99,99,98,96,99.0,1,1,1,0,1,4,5558363228.16,60312101.0,0.2232,,948980,1400638,4,98.0,0.7,2026-07-30
16,MU,Technology,Semiconductors,NASDAQ,51161879,739.0,271.72,0,0,-41.12,734.0,69.4,-1.6,-4.9,-9.1,69.9,99,99,99,98,99.4,1,1,1,1,1,5,1040114622413.45,1129393151.0,0.0321,3.457,48571248,52761785,4,98.9,-0.0,2026-07-30
17,DFTX,Healthcare,Biotechnology,NASDAQ,3740332,42.16,271.63,0,-5,-14.31,427.1,90.1,2.7,0.4,27.7,112.3,99,99,94,94,97.8,1,1,0,0,0,2,5730526275.18,132743254.0,0.080699995,,1606707,3108359,4,96.2,2.1,2026-07-30
18,MBX,Healthcare,Biotechnology,NASDAQ,898425,63.96,265.68,2,-7,-4.05,582.0,100.0,7.4,8.9,40.9,91.5,99,97,88,98,97.4,1,0,0,1,0,2,2951047232.0,47597536.0,0.1703,,625237,857621,3,95.1,0.5,2026-07-30
19,WDC,Technology,Computer Hardware,NASDAQ,9526052,462.04,263.95,0,0,-42.24,646.2,68.4,4.4,0.9,-4.7,61.7,99,99,99,99,99.3,1,1,1,1,1,5,179165771693.8,344682131.0,0.0761,0.455,7693376,8399255,4,99.1,-0.2,2026-07-30
20,TXG,Healthcare,Health Information Services,NASDAQ,3258906,46.32,252.6,2,-3,-6.42,335.9,100.0,6.5,12.1,37.0,113.3,99,97,92,90,95.4,1,0,0,0,0,1,5874262865.030001,126956189.0,0.1901,-0.026,2767948,3239693,4,93.6,2.7,2026-07-30
21,ETON,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,520616,48.13,248.53,6,6,7.17,247.0,100.0,10.7,20.0,37.4,108.6,99,93,93,24,94.8,1,0,0,0,0,1,1166640527.22,27392358.0,0.0629,0.404,661168,471045,3,76.2,12.9,2026-07-30
