rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,RXT,Technology,Software - Infrastructure,NASDAQ,28093496,7.27,502.16,1,-56,-15.47,1567.5,90.0,6.4,18.8,63.8,245.1,99,98,41,12,97.0,1,1,0,0,0,2,1799386390.4910388,249222499.0,0.13350001,0.019,30368769,26235733,2,62.0,23.4,2026-06-24
2,MXL,Technology,Semiconductors,NASDAQ,4485149,89.08,478.18,0,-28,-16.18,551.3,80.6,-0.3,-2.2,11.7,166.8,99,99,71,74,97.8,1,1,0,0,0,2,7948099512.130806,89545959.0,0.045500003,0.43,3255669,5572103,2,85.5,8.4,2026-06-24
3,BW,Industrials,Specialty Industrial Machinery,NYSE,3722699,15.9,476.1,0,0,-27.83,1531.2,64.6,-11.1,-14.7,-16.1,44.1,99,99,99,99,100.0,1,1,1,1,1,5,2586830923.8688946,148839531.0,0.0753,0.443,2470087,3383029,4,99.2,-0.5,2026-06-24
4,LESL,Consumer Cyclical,Specialty Retail,NASDAQ,2062310,9.88,473.82,6,-83,-27.14,858.8,66.2,6.6,35.5,128.8,196.3,99,93,4,1,6.1,1,0,0,0,0,1,85826138.87406921,9359448.0,0.1689,0.043,676491,1293740,1,26.0,70.7,2026-06-24
5,BNAI,Technology,Software - Infrastructure,NASDAQ,712409,19.98,458.58,0,0,-76.84,1467.5,28.5,-7.1,2.5,-21.9,7.4,99,99,99,14,97.9,1,1,1,0,0,3,130517627.6842556,6516107.0,0.115200005,9.431,570199,715415,3,77.5,17.5,2026-06-24
6,BE,Industrials,Electrical Equipment & Parts,NYSE,10518509,321.98,458.46,0,0,-2.29,1410.1,93.9,12.2,14.3,20.3,106.2,99,99,99,98,99.9,1,1,1,1,1,5,93556433665.54456,284443868.0,0.1149,1.304,11755807,10867817,4,99.0,-0.2,2026-06-24
7,ERAS,Healthcare,Biotechnology,NASDAQ,4990428,15.07,452.95,0,0,-37.93,1094.4,65.0,5.9,10.8,10.2,72.0,99,99,99,94,99.8,1,1,1,0,1,4,4251158712.8662376,310984542.0,0.115,,4994556,7218117,4,97.9,0.6,2026-06-24
8,NUAI,Technology,Software - Infrastructure,NASDAQ,8086929,6.16,449.88,0,0,-34.78,1678.1,71.4,2.4,7.9,20.7,36.6,99,99,99,97,99.5,1,1,1,0,1,4,633068300.0,101290928.0,0.1019,1.458,8692848,7286421,4,98.6,0.2,2026-06-24
9,WDC,Technology,Computer Hardware,NASDAQ,8069706,670.75,445.0,0,0,-16.14,937.3,85.0,0.2,8.7,28.7,134.1,99,99,99,98,99.7,1,1,1,1,1,5,257212139884.05716,344682131.0,0.1043,0.455,10718609,7956219,4,98.9,-0.2,2026-06-24
10,OPTX,Technology,Electronic Components,NASDAQ,1355424,11.13,432.6,0,0,-25.4,726.4,70.6,-15.3,-13.8,2.7,86.2,99,99,99,92,98.9,1,1,1,0,1,4,487789308.75100136,40279878.0,0.1659,-0.079,1233854,1370998,4,97.2,1.4,2026-06-24
11,MU,Technology,Semiconductors,NASDAQ,55368919,1051.77,428.0,0,-2,-8.5,899.7,85.3,0.2,3.7,35.5,152.4,99,99,97,98,99.2,1,1,0,1,1,4,1278839125480.4622,1127734051.0,0.0334,1.963,54194189,50303061,4,98.3,0.3,2026-06-24
12,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,2152297,102.39,390.25,0,-2,-19.14,715.8,79.6,-10.6,-8.8,-1.3,105.2,99,99,97,86,99.1,1,1,0,0,1,3,3626560282.1877136,31453254.0,0.1378,-0.437,1629652,2672102,3,95.3,2.7,2026-06-24
13,CLYM,Healthcare,Biotechnology,NASDAQ,1061999,12.3,389.18,0,0,-1.44,980.5,100.0,10.5,12.6,20.5,125.4,99,99,99,98,99.6,1,1,1,1,1,5,655661602.4279451,57263023.0,0.0471,,1305629,1024871,4,98.9,-0.1,2026-06-24
14,QTTB,Healthcare,Biotechnology,NASDAQ,1200808,11.88,376.47,3,6,-20.0,720.6,77.5,-10.2,-9.3,32.5,130.5,99,96,99,92,98.3,1,0,1,0,1,3,201781332.031641,16956415.0,0.1058,,431436,846775,4,96.3,-0.7,2026-06-24
15,STX,Technology,Computer Hardware,NASDAQ,3859648,1038.59,367.63,0,-2,-9.29,628.7,89.5,0.1,5.4,25.3,128.5,99,99,97,96,98.7,1,1,0,0,1,3,242141797687.69336,226252116.0,0.0458,0.441,4919135,4195377,4,97.7,0.9,2026-06-24
16,VICR,Technology,Electronic Components,NASDAQ,856323,336.12,365.36,0,-1,-7.12,635.0,86.6,0.7,1.5,13.8,101.9,99,99,98,97,98.5,1,1,1,0,1,4,15104310615.024536,45581407.0,0.0764,0.202,740280,872466,4,98.1,0.8,2026-06-24
17,SYRE,Healthcare,Biotechnology,NASDAQ,1248180,97.05,360.19,1,0,6.66,481.9,83.5,-0.1,8.1,14.9,105.1,99,98,97,94,97.3,1,1,0,0,0,2,7671555971.997833,86841253.0,0.1557,,1667031,1384034,4,96.6,1.3,2026-06-24
18,INTC,Technology,Semiconductors,NASDAQ,135474972,132.28,359.8,0,-8,-2.36,581.8,92.4,5.0,11.1,24.5,130.3,99,99,91,88,97.6,1,1,0,0,0,2,673433767608.6426,5026000000.0,0.0269,0.072,148703248,140593545,3,93.9,3.7,2026-06-24
19,EVC,Communication Services,Advertising Agencies,NYSE,2959423,10.84,355.01,0,-18,7.11,466.2,100.0,14.2,18.6,53.7,185.7,99,99,81,85,95.9,1,1,0,0,0,2,907506283.2008553,92039180.0,0.100200005,1.144,1946870,3002136,2,90.2,6.1,2026-06-24
20,ABVX,Healthcare,Biotechnology,NASDAQ,2413530,98.43,351.19,0,0,-33.86,1291.1,61.9,-5.9,-11.0,-17.9,-16.8,99,99,99,99,99.9,1,1,1,1,1,5,7909214559.369652,79770191.0,0.0388,0.352,1617861,1816166,4,99.2,-0.5,2026-06-24
21,KEEL,Technology,Information Technology Services,NASDAQ,54006459,6.6,344.44,1,-10,0.0,720.4,90.9,2.7,4.7,35.4,88.8,99,98,87,94,99.0,1,1,0,0,1,3,3798082191.755765,603828651.0,0.123500004,-0.224,67821809,45443339,3,94.5,1.4,2026-06-24
