rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,STAK,Energy,Oil & Gas Equipment & Services,NASDAQ,4062027,5.83,578.86,2,-5,-38.63,1910.3,70.8,-6.1,47.9,162.2,463.2,99,97,90,3,83.1,1,0,0,0,0,1,148303890.24950838,19210349.0,0.37240002,0.134,2172382,3089648,2,68.3,26.5,2026-06-18
2,OPTX,Technology,Electronic Components,NASDAQ,1362404,12.87,526.84,0,0,-13.74,868.8,84.4,-2.1,1.2,21.1,124.1,99,99,99,89,99.4,1,1,1,0,1,4,533708383.5,40279878.0,0.1659,-0.079,1236622,1389358,3,96.6,1.8,2026-06-18
3,BW,Industrials,Specialty Industrial Machinery,NYSE,3699424,17.16,498.66,0,0,-22.11,1866.1,78.7,7.4,-0.5,0.5,77.4,99,99,99,99,100.0,1,1,1,1,1,5,2393339647.124445,148839531.0,0.0753,0.443,2443694,3383990,4,99.2,-0.5,2026-06-18
4,WDC,Technology,Computer Hardware,NASDAQ,7415376,712.13,485.12,0,0,18.19,1160.7,100.0,25.8,32.1,55.5,180.4,99,99,99,98,99.8,1,1,1,1,1,5,194031909479.30267,344682131.0,0.1043,0.455,8584829,7528547,4,98.9,-0.2,2026-06-18
5,NUAI,Technology,Software - Infrastructure,NASDAQ,7646849,5.73,468.58,0,0,-39.33,1799.7,76.6,18.4,21.8,32.0,49.0,99,99,99,99,99.7,1,1,1,1,1,5,552035538.2802887,101290928.0,0.1019,1.458,7476808,7281335,4,99.2,-0.4,2026-06-18
6,TDIC,Communication Services,Advertising Agencies,NASDAQ,23311746,7.79,468.17,96,96,-99.21,2636.6,16.3,-14.9,60.5,139.5,27.3,99,3,3,0,,1,0,0,0,0,1,8668625.070867538,1509556.0,0.0047,0.289,5954359,14976626,0,2.0,,2026-06-18
7,RXT,Technology,Software - Infrastructure,NASDAQ,37962198,7.53,462.95,0,-19,-1.57,1665.3,95.6,26.5,34.5,89.4,281.7,99,99,80,13,96.8,1,1,0,0,0,2,1355770408.8206258,249222499.0,0.13350001,0.019,27548706,25619311,2,72.2,20.2,2026-06-18
8,MXL,Technology,Semiconductors,NASDAQ,4726675,82.87,455.75,0,-28,-22.03,580.2,84.9,8.9,0.7,23.4,188.8,99,99,71,71,97.9,1,1,0,0,0,2,7563051615.158226,89545959.0,0.045500003,0.43,3369257,5434053,2,84.7,8.9,2026-06-18
9,BNAI,Technology,Software - Infrastructure,NASDAQ,726647,20.35,439.68,0,0,-76.41,1569.2,30.5,-1.7,9.4,-21.9,16.0,99,99,99,4,97.4,1,1,1,0,0,3,139249212.05853462,6516107.0,0.115200005,9.431,1580013,724246,3,74.9,19.8,2026-06-18
10,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,2286872,112.62,435.8,0,-1,-7.54,934.1,98.8,10.7,11.3,22.0,154.9,99,99,98,88,99.6,1,1,1,0,1,4,3411734499.775085,31453254.0,0.1378,-0.437,1820138,3058143,3,96.1,2.0,2026-06-18
