rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,CLYM,Healthcare,Biotechnology,NASDAQ,1180723,17.34,447.21,0,0,2.0,953.7,99.0,8.5,21.1,29.8,115.1,99,99,99,99,99.6,1,1,1,1,1,5,937934039.7679616,57436255.0,0.1728,,1353050,1377490,4,99.1,-0.3,2026-08-21
2,SLS,Healthcare,Biotechnology,NASDAQ,6339453,13.85,438.02,0,0,-12.78,1012.2,100.0,21.0,30.1,32.2,150.0,99,99,99,99,99.7,1,1,1,1,1,5,2512964243.213438,196632574.0,0.2807,,5626780,8341394,4,99.2,-0.4,2026-08-21
3,QTTB,Healthcare,Biotechnology,NASDAQ,1918103,15.84,433.41,0,-3,-32.8,862.0,72.6,2.5,2.3,9.7,115.4,99,99,96,97,99.8,1,1,0,0,1,3,451007398.54385,29769466.0,0.1432,,382530,1314258,4,97.9,0.3,2026-08-21
4,MRNA,Healthcare,Biotechnology,NASDAQ,11915080,174.38,430.17,10,9,103.71,549.1,80.8,62.8,100.0,114.7,197.8,99,89,88,94,98.3,1,0,0,0,1,2,25279616369.64288,399235889.0,0.1523,0.021,25222120,11157892,2,92.3,-5.6,2026-08-21
5,ERAS,Healthcare,Biotechnology,NASDAQ,4187226,18.07,418.0,0,0,-25.58,1132.9,77.0,-2.3,-3.0,-0.2,45.9,99,99,99,99,100.0,1,1,1,1,1,5,6428625909.768019,349762035.0,0.0956,,2802260,4918138,4,99.2,-0.5,2026-08-21
6,FBRX,Healthcare,Biotechnology,NASDAQ,2121513,76.9,384.16,0,-13,-0.39,646.8,99.9,0.1,0.2,56.4,146.4,99,99,86,96,99.1,1,1,0,0,1,3,1631030793.0816193,21229087.0,0.0936,,1608060,1440928,3,95.0,1.8,2026-08-21
7,ANRO,Healthcare,Biotechnology,NYSE,560966,34.89,335.26,0,0,3.62,876.6,98.1,6.5,14.2,25.7,62.7,99,99,99,99,99.9,1,1,1,1,1,5,1261241198.6085205,39242104.0,0.09770001,,517920,575960,4,99.2,-0.4,2026-08-21
8,BFLY,Healthcare,Medical Devices,NYSE,7266150,9.17,330.47,2,0,-8.76,587.1,98.2,3.7,11.5,22.4,96.6,99,97,95,92,99.2,1,0,0,0,1,2,2353961058.3518944,266285183.0,0.1528,0.395,5493090,9277956,4,95.8,0.1,2026-08-21
9,XHLD,Communication Services,Broadcasting,NASDAQ,6124890,7.64,326.64,43,-8,-43.28,861.1,100.0,27.3,106.7,202.7,277.3,99,56,5,4,65.0,1,0,0,0,0,1,70427366.21070957,11977443.0,0.0049,-0.345,17355960,3769134,0,32.5,11.0,2026-08-21
10,ORKA,Healthcare,Biotechnology,NASDAQ,930280,109.69,324.43,0,-1,-1.51,644.0,94.8,-0.5,6.1,18.1,96.9,99,99,98,96,99.5,1,1,1,0,1,4,7351925037.57679,66209699.0,0.17709999,,781560,1304782,4,98.1,0.5,2026-08-21
