rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,SNDK,Technology,Computer Hardware,NASDAQ,12600296,1519.97,507.45,0,0,-35.44,1800.3,75.8,8.1,12.6,19.1,67.7,99,99,99,99,100.0,1,1,1,1,1,5,239153471708.66736,146419001.0,0.0643,3.716,9694840,14119466,4,99.2,-0.5,2026-09-18
2,XHLD,Communication Services,Broadcasting,NASDAQ,7935130,9.65,504.16,0,-90,-30.27,1134.6,77.1,-1.7,5.2,78.3,278.0,99,99,9,6,82.5,1,1,0,0,0,2,150108682.5910101,11979943.0,0.0794,-0.345,3708750,4954876,1,49.1,35.8,2026-09-18
3,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,9963733,64.3,422.91,0,0,-55.09,1668.4,48.3,8.3,10.2,11.1,22.6,99,99,99,99,99.9,1,1,1,1,1,5,4247176721.115082,65573212.0,0.1464,1.648,8701920,10232658,4,99.2,-0.5,2026-09-18
4,TXG,Healthcare,Medical Devices,NASDAQ,3009066,72.68,345.5,0,-3,4.32,575.5,99.4,9.2,14.9,35.2,144.5,99,99,96,93,99.2,1,1,0,0,1,3,8936670735.979492,130291168.0,0.18190001,-0.127,2599800,2982898,4,96.8,1.4,2026-09-18
5,MRNA,Healthcare,Biotechnology,NASDAQ,25250363,145.62,333.79,4,1,-17.57,588.9,86.6,6.2,5.6,56.9,155.7,99,95,92,94,99.3,1,0,0,0,1,2,57477991426.6785,399235889.0,0.119799994,0.021,11527180,17283210,4,95.1,-1.7,2026-09-18
6,SLS,Healthcare,Biotechnology,NASDAQ,7018606,11.66,330.81,0,-1,-26.57,726.6,71.8,-7.7,-13.3,-8.1,57.7,99,99,98,98,99.7,1,1,1,1,1,5,2271106267.204687,196632574.0,0.288,,6853680,7078086,4,98.7,-0.1,2026-09-18
7,TJGC,Communication Services,Advertising Agencies,NASDAQ,1859716,11.02,328.84,39,72,-4.17,1024.9,100.0,46.8,71.7,153.4,290.5,99,60,93,4,95.1,1,0,0,0,0,1,113019253.13186169,10100023.0,0.0642,-0.251,2119110,1270510,2,63.0,-9.6,2026-09-18
8,ERAS,Healthcare,Biotechnology,NASDAQ,3694550,15.36,307.68,0,0,-36.74,734.5,62.8,-6.5,-11.8,-17.2,10.1,99,99,99,99,99.8,1,1,1,1,1,5,5554221155.827088,349762035.0,0.0988,,4351580,4079912,4,99.2,-0.4,2026-09-18
9,TWST,Healthcare,Biotechnology,NASDAQ,1678616,143.07,303.34,0,-3,-7.96,556.1,100.0,21.8,20.0,41.1,139.6,99,99,96,88,99.4,1,1,0,0,1,3,8434835437.21405,66301174.0,0.22950001,0.232,1540120,1553864,3,95.6,2.3,2026-09-18
10,IOVA,Healthcare,Biotechnology,NASDAQ,17286366,9.87,302.3,1,-7,5.45,466.3,100.0,12.1,17.6,51.0,142.0,99,98,90,90,98.7,1,1,0,0,1,3,3895554487.994888,452971432.0,0.20809999,0.657,13134280,16799716,4,94.2,2.0,2026-09-18
11,NUAI,Technology,Software - Infrastructure,NASDAQ,5813066,5.41,295.08,0,0,-42.72,1120.8,71.0,0.2,8.5,14.2,20.6,99,99,99,99,99.9,1,1,1,1,1,5,632962479.7573743,106559339.0,0.2577,-0.825,6355860,6472884,4,99.2,-0.4,2026-09-18
12,DELL,Technology,Computer Hardware,NYSE,8370766,563.29,280.42,0,-1,-0.79,411.4,95.7,4.0,12.8,22.8,108.5,99,99,98,91,98.3,1,1,1,0,1,4,360690200977.005,635812750.0,0.048800003,0.577,13461490,7673806,4,96.6,2.1,2026-09-18
13,CLYM,Healthcare,Biotechnology,NASDAQ,1533396,14.11,278.33,0,0,-23.02,756.7,76.6,-4.0,-6.9,-1.5,51.4,99,99,99,99,99.6,1,1,1,1,1,5,818466633.75,57436255.0,0.17930001,,1993050,1350264,4,99.2,-0.3,2026-09-18
14,ORKA,Healthcare,Biotechnology,NASDAQ,770450,93.55,262.31,0,0,-19.02,531.0,81.5,1.4,-0.2,-1.4,55.4,99,99,99,98,99.0,1,1,1,1,1,5,6116451811.76963,66209699.0,0.1714,,702340,817138,4,98.8,0.2,2026-09-18
15,MXL,Technology,Semiconductors,NASDAQ,2252923,69.51,260.73,0,0,-45.82,521.6,59.2,15.5,22.6,13.6,62.3,99,99,99,74,98.9,1,1,1,0,1,4,6762991225.192635,90693191.0,0.069299996,0.552,2430250,3008020,3,92.7,5.1,2026-09-18
16,CDNA,Healthcare,Diagnostics & Research,NASDAQ,1055616,53.55,258.45,0,-13,-0.23,277.0,98.9,3.9,5.9,20.0,102.1,99,99,86,45,97.8,1,1,0,0,0,2,2600161961.1458244,51734223.0,0.1148,0.522,978080,1180292,2,82.0,12.7,2026-09-18
17,QMCO,Technology,Computer Hardware,NASDAQ,1923603,23.83,250.03,0,-4,-14.28,482.1,95.3,4.5,6.6,40.3,140.5,99,99,95,14,95.3,1,1,0,0,0,2,929287820.5732557,39410001.0,0.0465,0.257,942320,1532788,3,75.8,19.3,2026-09-18
18,MU,Technology,Semiconductors,NASDAQ,27513180,926.55,247.91,0,0,-26.17,547.7,81.3,4.0,5.9,9.5,58.7,99,99,99,98,99.5,1,1,1,1,1,5,1101451975473.49,1129393151.0,0.026400002,3.457,24704310,34966128,4,98.9,-0.0,2026-09-18
19,ABCL,Healthcare,Biotechnology,NASDAQ,8229746,11.67,245.05,0,-9,-7.23,354.3,99.0,9.9,9.4,38.7,130.0,99,99,90,41,94.4,1,1,0,0,0,2,3528875894.322833,324047363.0,0.1367,-0.763,3602370,6993148,3,81.1,14.8,2026-09-18
20,ETON,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,599206,56.35,240.8,0,-6,-15.1,286.8,82.2,-3.2,-6.9,8.0,84.3,99,99,93,90,96.0,1,1,0,0,0,2,1631525398.137283,28583135.0,0.0652,0.986,420400,576558,4,94.5,3.9,2026-09-18
21,SYRE,Healthcare,Biotechnology,NASDAQ,1047403,91.17,239.75,0,0,-17.25,506.5,80.1,0.1,-2.5,-7.9,39.2,99,99,99,97,99.3,1,1,1,0,1,4,7988542702.6575165,88173762.0,0.1438,,1047990,1054830,4,98.6,0.3,2026-09-18
22,QTTB,Healthcare,Biotechnology,NASDAQ,522020,10.98,238.72,0,0,-53.42,505.7,44.8,-5.1,-19.8,-28.0,25.0,99,99,99,99,99.1,1,1,1,1,1,5,330441083.95615005,29769466.0,0.1697,,759910,1382282,4,99.0,-0.1,2026-09-18
23,LIFE,Financial Services,Insurance Brokers,NASDAQ,1524506,38.55,237.87,2,-27,-9.4,265.5,81.3,-8.0,-5.7,18.8,,99,97,68,14,,1,0,0,0,0,1,2566318023.5,63759454.0,0.053400002,1.134,1473900,1269128,1,59.7,,2026-09-18
24,HELP,Healthcare,Biotechnology,NASDAQ,1710760,13.47,237.61,1,-72,-6.13,219.6,83.7,-5.3,-3.5,17.1,74.9,99,98,25,15,87.3,1,1,0,0,0,2,947713613.4717064,73069668.0,1.59,,1396850,1750690,1,56.3,29.3,2026-09-18
25,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,577790,49.61,230.72,1,-10,-15.77,325.5,96.9,2.4,4.7,27.3,108.4,99,98,87,88,96.6,1,1,0,0,0,2,3787943701.3018646,71322607.0,0.1463,,811950,496648,2,92.4,3.8,2026-09-18
26,RCEL,Healthcare,Medical Devices,NASDAQ,623196,10.45,229.8,1,-63,-8.25,237.0,97.5,5.4,5.9,42.6,117.9,99,98,34,31,83.6,1,1,0,0,0,2,305557251.8992968,30926847.0,0.0959,0.178,292670,465988,1,61.7,27.0,2026-09-18
27,WCT,Technology,Software - Application,NASDAQ,2104166,7.7,227.87,96,96,-69.2,938.7,35.6,25.2,115.1,287.7,86.2,98,2,2,2,1.5,1,0,0,0,0,1,401511215.4553976,56155414.0,0.0022,-0.879,541630,1299946,0,1.9,0.3,2026-09-18
28,DFTX,Healthcare,Biotechnology,NASDAQ,2286863,37.85,224.88,-1,-2,-23.84,329.3,75.5,1.2,-3.0,-8.6,48.5,98,99,98,96,98.1,1,1,1,0,1,4,5225530603.488922,134366950.0,0.073699996,,2390210,2101228,4,97.8,1.1,2026-09-18
29,DRTS,Healthcare,Biotechnology,NASDAQ,588370,15.04,220.32,0,-3,-0.86,339.2,97.9,2.9,3.7,11.2,64.2,98,98,95,96,98.0,1,1,0,0,0,2,1334459790.442093,92478154.0,0.0481,,506320,594920,4,96.7,0.7,2026-09-18
30,AMLX,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,3091560,32.63,219.31,-1,-9,-20.69,184.8,74.4,-1.7,-5.9,20.6,83.2,98,99,91,95,92.8,1,1,0,0,0,2,3523196871.269943,111423048.0,0.1478,,1544290,2581994,4,94.5,4.7,2026-09-18
31,IMMX,Healthcare,Biotechnology,NASDAQ,1457933,11.92,215.29,0,-1,-21.06,512.7,84.2,-0.6,-5.9,10.1,40.8,98,98,97,99,99.6,1,1,0,1,1,4,868487296.5210743,71539314.0,0.16239999,,1272490,1563126,4,98.4,-0.9,2026-09-18
32,ECO,Industrials,Marine Shipping,NYSE,624916,84.74,214.26,3,0,11.19,201.2,97.7,8.8,17.6,31.8,66.7,98,95,92,95,94.6,1,0,0,0,0,1,2973250537.8274155,39044655.0,0.0418,2.394,674920,547868,4,94.2,0.5,2026-09-18
33,LITE,Technology,Communication Equipment,NASDAQ,4647846,919.4,211.63,-1,-1,-15.32,522.2,86.5,2.0,3.4,10.6,30.4,98,99,99,99,99.0,1,1,1,1,1,5,83154593627.92969,89700000.0,0.0866,1.093,4323660,4582926,4,99.0,0.0,2026-09-18
34,BAND,Technology,Software - Infrastructure,NASDAQ,841433,48.93,209.67,-1,-2,-38.13,291.8,57.0,1.8,3.0,-5.6,42.4,98,99,98,70,94.3,1,1,1,0,0,3,1830121379.18721,32180788.0,0.147,0.222,915900,1047922,3,90.3,8.2,2026-09-18
35,OMER,Healthcare,Biotechnology,NASDAQ,2078330,17.34,208.26,1,-4,-11.76,335.9,90.1,-2.1,-3.9,19.0,42.4,98,97,92,95,98.6,1,0,0,0,1,2,1323258466.185112,72388316.0,0.18270001,,1363960,1831690,4,95.6,0.1,2026-09-18
36,CLMT,Basic Materials,Specialty Chemicals,NASDAQ,1294416,58.01,207.84,0,-8,-0.67,233.7,99.9,4.2,11.5,24.6,76.9,98,98,90,95,96.1,1,1,0,0,0,2,4992619624.138969,87898234.0,0.0529,0.408,1314990,1248844,4,94.8,2.3,2026-09-18
37,RVMD,Healthcare,Biotechnology,NASDAQ,1728750,195.92,207.8,-1,-3,-12.66,349.2,83.1,-5.7,-7.7,-4.1,36.6,98,99,97,95,98.4,1,1,0,0,1,3,43675332811.60397,214336418.0,0.0479,,1471800,1777972,4,97.3,1.3,2026-09-18
38,PAYS,Technology,Software - Infrastructure,NASDAQ,840690,11.82,204.77,-1,-9,-18.09,288.1,83.6,-3.1,-4.6,7.9,77.3,98,99,91,74,88.7,1,1,0,0,0,2,734572662.4831619,56462156.0,0.0361,0.481,794300,705510,2,88.2,10.9,2026-09-18
39,RLAY,Healthcare,Biotechnology,NASDAQ,2633753,18.84,203.38,-1,-2,-11.42,330.1,88.3,-0.6,-1.2,-2.5,39.7,98,99,98,97,98.7,1,1,1,0,1,4,4135202760.880976,219141631.0,0.2314,-0.483,3239460,2565480,4,98.2,0.7,2026-09-18
40,BFLY,Healthcare,Medical Devices,NYSE,4820373,7.26,203.15,-1,-3,-27.76,325.9,76.8,4.9,-1.1,-1.3,46.8,98,99,97,91,98.8,1,1,0,0,1,3,1951870371.0740528,266285183.0,0.1592,0.395,4188180,6153070,4,96.5,1.9,2026-09-18
41,RNG,Technology,Software - Application,NYSE,1497016,73.54,202.26,2,-36,-5.66,189.5,91.3,0.3,2.0,18.7,71.9,98,96,58,81,89.8,1,0,0,0,0,1,5755244532.135651,83506162.0,0.1433,0.059,1384280,1892642,1,81.2,9.9,2026-09-18
42,BLZE,Technology,Software - Infrastructure,NASDAQ,2656293,13.11,202.19,-1,-8,-45.35,297.6,57.5,0.3,-4.8,-12.8,60.7,98,99,92,14,61.1,1,1,0,0,0,2,767559976.3870239,61900000.0,0.070700005,0.177,1615110,2653908,2,66.5,36.6,2026-09-18
43,UMC,Technology,Semiconductors,NYSE,10914700,22.53,198.82,2,4,-22.2,252.1,83.8,9.3,17.1,20.5,64.5,98,96,98,82,97.3,1,0,1,0,0,2,56779048720.49408,2507908580.0,0.014400001,0.17,10120840,13232412,3,93.3,1.9,2026-09-18
44,PBF,Energy,Oil & Gas Refining & Marketing,NYSE,3165490,75.93,197.72,0,-21,-8.09,196.7,97.9,1.8,4.6,12.0,67.4,98,98,77,97,92.7,1,1,0,0,0,2,9281434777.14572,118536838.0,0.1275,0.562,3854580,3255008,3,91.2,5.0,2026-09-18
45,INTC,Technology,Semiconductors,NASDAQ,97341756,101.05,194.28,1,3,-29.01,277.6,71.2,6.2,13.3,11.9,40.8,98,97,99,92,98.4,1,0,1,0,1,3,544151688575.8104,5286105262.0,0.028800001,0.254,96155740,104981728,4,96.6,0.1,2026-09-18
46,PURR,Financial Services,Capital Markets,NASDAQ,21742583,11.44,194.19,9,16,-19.09,354.5,100.0,17.3,18.9,58.1,,98,89,96,88,,1,0,0,0,0,1,2296894433.2478514,197837597.0,1.46,,22134270,16585976,1,91.0,,2026-09-18
47,DK,Energy,Oil & Gas Refining & Marketing,NYSE,1758836,79.16,191.49,2,-11,0.93,192.8,93.7,2.1,5.8,15.2,67.3,98,96,83,95,92.5,1,0,0,0,0,1,4663981852.682632,61287542.0,0.111899994,0.478,2095820,1545928,3,91.6,3.3,2026-09-18
48,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,2702760,84.25,191.38,-1,-1,-42.84,381.9,58.7,4.5,6.1,1.0,42.0,98,99,99,98,96.5,1,1,1,1,0,4,3092532490.47522,32659546.0,0.14039999,0.337,3478260,2993242,4,98.1,1.5,2026-09-18
49,ABSI,Healthcare,Biotechnology,NASDAQ,2731420,8.04,190.52,-1,-2,-33.31,319.6,78.9,12.4,9.2,10.3,74.6,98,99,98,43,97.9,1,1,1,0,0,3,1408951028.646555,171614010.0,0.2608,-0.464,2538570,3017590,3,84.5,11.8,2026-09-18
50,AGEN,Healthcare,Biotechnology,NASDAQ,1106920,7.21,189.52,1,-78,-18.53,183.4,90.9,7.6,2.8,12.4,80.2,98,97,18,75,79.7,1,0,0,0,0,1,312441627.15608835,45020407.0,0.1504,0.344,894340,5075920,1,67.4,20.9,2026-09-18
51,BE,Industrials,Electrical Equipment & Parts,NYSE,12799776,270.02,189.01,2,5,-23.13,286.7,71.1,-0.4,10.5,17.8,33.6,98,96,99,99,96.8,1,0,1,1,0,3,81215915659.5,294527346.0,0.0743,1.655,14516790,14858124,4,97.7,-1.3,2026-09-18
52,MRVL,Technology,Semiconductors,NASDAQ,22297480,229.71,188.39,1,3,-30.37,231.3,70.3,6.1,7.4,13.1,54.2,98,97,99,80,96.9,1,0,1,0,0,2,212184164614.55765,898704613.0,0.0509,0.365,18140280,23139964,3,93.2,3.2,2026-09-18
