rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,TNON,Healthcare,Medical Devices,NASDAQ,1299906,5.45,546.67,97,109,-23.78,5296.9,61.5,22.0,136.4,399.6,596.0,99,2,14,16,98.9,1,0,0,0,1,2,2561712.884246826,496456.0,0.0139999995,0.899,1779840,9411222,1,32.7,-52.5,2026-08-20
2,CLYM,Healthcare,Biotechnology,NASDAQ,1161976,17.39,433.03,0,0,2.29,937.8,97.3,9.0,21.7,29.7,115.5,99,99,99,99,99.9,1,1,1,1,1,5,937934039.7679616,57436255.0,0.1728,,1334800,1375590,4,99.2,-0.4,2026-08-20
3,ERAS,Healthcare,Biotechnology,NASDAQ,4213343,18.1,426.63,0,0,-25.45,1094.4,74.4,-5.7,-6.7,-2.3,43.2,99,99,99,99,100.0,1,1,1,1,1,5,6428625909.768019,349762035.0,0.0956,,2781510,4944382,4,99.2,-0.5,2026-08-20
4,SLS,Healthcare,Biotechnology,NASDAQ,6541816,13.1,423.73,0,0,-17.51,864.0,85.4,7.8,14.7,16.2,119.1,99,99,99,98,99.8,1,1,1,1,1,5,2512964243.213438,196632574.0,0.2807,,5290840,8276676,4,98.9,-0.2,2026-08-20
5,QTTB,Healthcare,Biotechnology,NASDAQ,1917183,15.29,422.46,0,-3,-35.13,855.4,72.0,1.5,1.8,10.0,117.7,99,99,96,96,99.7,1,1,0,0,1,3,451007398.54385,29769466.0,0.1432,,420980,1324216,4,97.7,0.5,2026-08-20
6,FBRX,Healthcare,Biotechnology,NASDAQ,1918893,76.88,387.94,1,-10,-0.41,646.5,99.9,0.1,2.8,64.4,151.5,99,98,87,97,99.4,1,1,0,0,1,3,1631030793.0816193,21229087.0,0.0936,,1096750,1318420,3,95.3,0.6,2026-08-20
7,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,3149493,123.25,353.13,0,0,-16.38,509.7,69.1,-11.4,3.8,11.6,78.9,99,99,99,98,99.3,1,1,1,1,1,5,4373097447.3602295,32620450.0,0.1387,0.337,2590550,2585256,4,98.8,0.0,2026-08-20
8,ANRO,Healthcare,Biotechnology,NYSE,564393,34.13,330.16,0,0,1.37,898.5,98.0,8.4,15.9,27.7,64.0,99,99,99,99,99.9,1,1,1,1,1,5,1261241198.6085205,39242104.0,0.09770001,,509240,578676,4,99.2,-0.5,2026-08-20
9,ORKA,Healthcare,Biotechnology,NASDAQ,1037650,113.08,329.61,0,-1,1.54,628.2,91.7,-2.5,3.9,15.8,92.7,99,99,98,95,99.6,1,1,1,0,1,4,7351925037.57679,66209699.0,0.17709999,,715250,1295324,4,97.9,0.6,2026-08-20
10,BFLY,Healthcare,Medical Devices,NYSE,7331396,9.0,319.51,1,-2,-10.45,559.7,93.6,0.3,8.9,18.8,90.1,99,98,95,68,99.4,1,1,0,0,1,3,2353961058.3518944,266285183.0,0.1528,0.395,5689960,9290332,3,90.1,5.6,2026-08-20
