rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,QTTB,Healthcare,Biotechnology,NASDAQ,1920596,15.86,445.12,0,-1,-32.71,885.5,74.5,4.5,4.4,11.9,118.6,99,99,98,96,99.7,1,1,1,0,1,4,451007398.54385,29769466.0,0.1432,,361000,1303994,4,98.2,0.3,2026-08-24
2,CLYM,Healthcare,Biotechnology,NASDAQ,1145126,17.02,407.97,0,0,0.12,900.0,93.4,1.1,13.5,22.2,102.3,99,99,99,99,99.5,1,1,1,1,1,5,937934039.7679616,57436255.0,0.1728,,1300890,1301258,4,99.1,-0.2,2026-08-24
3,SLS,Healthcare,Biotechnology,NASDAQ,6364750,13.4,404.84,0,-1,-15.62,930.6,91.9,9.3,18.8,21.1,129.3,99,99,98,99,99.6,1,1,1,1,1,5,2512964243.213438,196632574.0,0.2807,,6031700,8359276,4,98.9,-0.2,2026-08-24
4,ERAS,Healthcare,Biotechnology,NASDAQ,3893200,17.08,396.39,0,0,-29.65,1130.8,76.9,-2.2,-2.8,-0.7,44.7,99,99,99,99,100.0,1,1,1,1,1,5,6428625909.768019,349762035.0,0.0956,,2826190,4648282,4,99.2,-0.5,2026-08-24
5,FBRX,Healthcare,Biotechnology,NASDAQ,2096466,76.89,368.95,0,-14,-0.4,647.1,100.0,0.1,0.2,52.8,143.9,99,99,85,97,99.3,1,1,0,0,1,3,1631030793.0816193,21229087.0,0.0936,,1755150,1522758,3,95.1,1.6,2026-08-24
6,XHLD,Communication Services,Broadcasting,NASDAQ,6116870,7.51,347.43,52,12,-44.25,859.8,99.9,18.2,91.0,187.7,274.3,99,47,7,5,67.0,1,0,0,0,0,1,70427366.21070957,11977443.0,0.0049,-0.345,10587440,3813476,0,31.5,2.4,2026-08-24
7,MRNA,Healthcare,Biotechnology,NASDAQ,15084576,133.32,335.91,10,8,55.75,521.2,76.7,43.1,81.0,100.2,181.7,99,89,87,95,98.5,1,0,0,0,1,2,25279616369.64288,399235889.0,0.1523,0.021,34608080,13046280,2,92.4,-5.7,2026-08-24
8,BFLY,Healthcare,Medical Devices,NYSE,7093250,9.17,328.94,2,-1,-8.76,496.7,90.9,-2.1,3.3,13.7,83.1,99,97,94,87,99.2,1,0,0,0,1,2,2353961058.3518944,266285183.0,0.1528,0.395,5442740,9253776,3,94.3,1.2,2026-08-24
9,NUAI,Technology,Software - Infrastructure,NASDAQ,6684473,5.57,327.09,0,0,-41.03,1363.5,58.0,-7.5,-5.0,-6.6,0.7,99,99,99,99,99.9,1,1,1,1,1,5,513545022.3477402,101290928.0,0.23719999,1.458,5774070,7895310,4,99.2,-0.5,2026-08-24
10,SMJF,Consumer Cyclical,Textile Manufacturing,NYSE ARCA,1143806,11.23,324.99,9,11,9.56,758.8,98.4,7.4,31.9,71.0,,99,90,92,10,,1,0,0,0,0,1,283976250.0,27705000.0,0.0481,-0.014,1376070,915046,2,64.0,,2026-08-24
11,ORKA,Healthcare,Biotechnology,NASDAQ,845803,104.86,323.18,0,-1,-5.85,605.9,89.2,-5.3,0.1,11.2,85.5,99,99,98,96,99.3,1,1,1,0,1,4,7351925037.57679,66209699.0,0.17709999,,787720,1250614,4,98.1,0.6,2026-08-24
12,TWST,Healthcare,Diagnostics & Research,NASDAQ,1554026,136.33,321.73,1,-3,7.86,482.8,96.1,8.5,21.4,39.0,135.3,99,98,94,88,98.5,1,1,0,0,1,3,7435219244.543213,62707424.0,0.2874,0.232,1714200,1830062,3,94.6,2.1,2026-08-24
13,TXG,Healthcare,Health Information Services,NASDAQ,3118143,63.87,314.64,0,-7,5.24,462.6,97.5,6.5,17.3,40.3,138.0,99,99,92,92,98.2,1,1,0,0,1,3,7308031633.0008545,130291168.0,0.1759,-0.127,3575600,3248346,4,95.3,2.5,2026-08-24
14,ANRO,Healthcare,Biotechnology,NYSE,518813,34.25,314.41,0,-1,1.72,932.8,100.0,9.9,19.1,31.5,71.0,99,99,98,99,99.9,1,1,1,1,1,5,1261241198.6085205,39242104.0,0.09770001,,507200,567468,4,99.0,-0.3,2026-08-24
