rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,XHLD,Communication Services,Broadcasting,NASDAQ,6672143,9.42,483.58,94,95,-30.07,1059.3,97.9,8.4,36.9,148.3,319.1,99,5,6,5,85.9,1,0,0,0,0,1,111390222.18451595,11977443.0,0.100600004,-0.345,2282509,4204939,0,25.5,-40.6,2026-09-02
2,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,11288924,56.11,452.82,0,0,-60.81,1824.0,39.2,-11.2,-21.0,-10.1,5.2,99,99,99,99,100.0,1,1,1,1,1,5,3844557489.599746,65573212.0,0.1712,1.648,8165653,10519494,4,99.2,-0.5,2026-09-02
3,MRNA,Healthcare,Biotechnology,NASDAQ,23044724,154.27,396.72,6,-1,-12.67,574.5,84.5,3.9,38.5,83.9,181.4,99,93,86,95,99.7,1,0,0,0,1,2,55090562516.17824,399235889.0,0.1616,0.021,58396603,17155032,3,93.4,-3.0,2026-09-02
4,SLS,Healthcare,Biotechnology,NASDAQ,6862834,13.22,395.46,0,0,-16.75,918.7,90.8,1.0,7.8,12.0,112.0,99,99,99,99,99.9,1,1,1,1,1,5,2597516310.0409374,196632574.0,0.28030002,,8909672,8708482,4,99.2,-0.4,2026-09-02
5,ERAS,Healthcare,Biotechnology,NASDAQ,3423259,16.76,358.67,0,0,-30.97,1044.8,71.0,-7.9,-9.1,-10.3,28.8,99,99,99,99,100.0,1,1,1,1,1,5,6306209731.21253,349762035.0,0.097600006,,3854077,4612785,4,99.2,-0.5,2026-09-02
6,CLYM,Healthcare,Biotechnology,NASDAQ,1201241,14.82,351.11,0,0,-19.15,817.7,82.8,-4.7,-3.2,7.9,75.5,99,99,99,99,99.8,1,1,1,1,1,5,836846217.821846,57436255.0,0.1856,,1304205,1360069,4,99.2,-0.4,2026-09-02
7,BIAF,Healthcare,Diagnostics & Research,NASDAQ,7667300,6.59,350.49,96,130,-51.19,2445.7,92.6,130.4,315.0,607.4,478.6,99,3,37,4,68.6,1,0,0,0,0,1,2884632.4222135544,592327.0,0.024400001,0.19,22386701,4801336,0,28.2,-36.4,2026-09-02
8,TJGC,Communication Services,Advertising Agencies,NASDAQ,1384849,10.02,348.78,17,28,-1.67,570.7,99.5,31.7,73.9,94.3,160.5,99,82,93,7,91.9,1,0,0,0,0,1,99990223.847147,10100023.0,0.0846,-0.251,1707059,852355,2,68.5,8.9,2026-09-02
9,MU,Technology,Semiconductors,NASDAQ,35564250,933.44,289.25,0,0,-25.62,705.3,76.5,1.3,2.5,1.3,59.6,99,99,99,98,99.9,1,1,1,1,1,5,1053565678298.015,1129393151.0,0.026600001,3.457,24370641,42075552,4,99.0,-0.3,2026-09-02
10,TWST,Healthcare,Diagnostics & Research,NASDAQ,1646363,132.06,285.25,1,-2,-15.04,442.2,82.9,-7.8,-1.0,19.5,105.5,99,98,95,87,99.3,1,1,0,0,1,3,8865575911.308594,62707424.0,0.2881,0.232,1855420,1708464,3,94.8,1.8,2026-09-02
