rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,SNDK,Technology,Computer Hardware,NASDAQ,12185536,1816.57,517.72,0,0,-22.84,1759.8,74.1,4.0,6.3,16.2,59.4,99,99,99,99,100.0,1,1,1,1,1,5,262356486507.5182,146419001.0,0.0643,3.716,9931440,14066744,4,99.2,-0.5,2026-09-25
2,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,9289740,72.98,416.33,0,0,-49.02,1783.4,52.5,10.3,16.0,17.2,30.0,99,99,99,99,99.9,1,1,1,1,1,5,4592091956.314575,65573212.0,0.1464,1.648,9089200,10323108,4,99.2,-0.5,2026-09-25
3,MRNA,Healthcare,Biotechnology,NASDAQ,27642213,182.11,390.85,0,-4,3.09,771.3,100.0,19.9,27.4,81.4,207.3,99,99,95,94,99.7,1,1,0,0,1,3,61498293661.14327,399235889.0,0.119799994,0.021,15365310,18636262,4,96.9,1.0,2026-09-25
4,TXG,Healthcare,Medical Devices,NASDAQ,2859223,75.62,335.61,0,-2,-5.4,641.7,100.0,13.0,22.1,42.9,160.8,99,99,97,94,99.3,1,1,0,0,1,3,9980303269.991455,130291168.0,0.18190001,-0.127,2931970,2993302,4,97.3,1.1,2026-09-25
5,TWST,Healthcare,Biotechnology,NASDAQ,1727970,158.5,311.99,0,-1,-5.12,623.1,100.0,22.6,28.9,49.6,156.5,99,99,98,88,99.4,1,1,1,0,1,4,11071633410.463226,66301174.0,0.22950001,0.232,2054310,1665906,3,96.1,2.1,2026-09-25
6,MXL,Technology,Semiconductors,NASDAQ,2416133,84.32,295.7,0,0,-34.28,553.7,62.8,12.7,23.4,20.0,67.3,99,99,99,76,98.8,1,1,1,0,1,4,7357031903.016289,90693191.0,0.069299996,0.552,2959930,3077050,3,93.2,4.7,2026-09-25
7,WCT,Technology,Software - Application,NASDAQ,2242930,7.52,290.42,96,94,-69.92,934.7,35.4,2.7,67.4,222.1,88.1,99,3,1,2,6.0,1,0,0,0,0,1,436889132.70187473,56155414.0,0.0022,-0.879,756240,1381682,0,3.0,-1.1,2026-09-25
8,IOVA,Healthcare,Biotechnology,NASDAQ,15436383,10.19,289.8,0,-7,-7.19,496.7,100.0,8.9,17.9,48.2,145.4,99,99,92,88,99.0,1,1,0,0,1,3,4642957178.0,452971432.0,0.20809999,0.657,16695040,17430052,3,94.5,2.9,2026-09-25
9,SLS,Healthcare,Biotechnology,NASDAQ,7360390,11.52,278.23,0,0,-27.46,761.9,75.3,3.2,-5.8,-3.4,60.0,99,99,99,97,99.6,1,1,1,0,1,4,2259308230.2543755,196632574.0,0.288,,7532120,6977026,4,98.7,0.1,2026-09-25
10,MU,Technology,Semiconductors,NASDAQ,26659826,1071.88,267.51,0,0,-14.59,589.0,87.4,7.6,9.5,15.3,64.5,99,99,99,98,99.4,1,1,1,1,1,5,1147237548999.2625,1129393151.0,0.026400002,3.457,25248950,34056128,4,98.8,0.0,2026-09-25
11,QMCO,Technology,Computer Hardware,NASDAQ,2089216,25.97,265.03,0,-6,-6.58,584.2,100.0,18.9,21.3,55.8,175.2,99,99,93,10,94.1,1,1,0,0,0,2,988796931.1034888,39410001.0,0.0465,0.257,1332890,1627848,3,74.0,20.8,2026-09-25
12,ERAS,Healthcare,Biotechnology,NASDAQ,4137456,13.94,263.48,0,0,-42.59,720.3,61.6,-5.3,-10.8,-17.5,6.9,99,99,99,99,99.8,1,1,1,1,1,5,5165985417.058353,349762035.0,0.0988,,5312420,4261532,4,99.2,-0.4,2026-09-25
13,DELL,Technology,Computer Hardware,NYSE,8996673,549.83,255.22,0,-1,-7.67,382.6,89.0,-3.9,2.2,13.5,90.9,99,99,98,88,98.2,1,1,1,0,1,4,361179789212.7228,635812750.0,0.048800003,0.577,9935010,7916562,3,95.8,2.7,2026-09-25
14,NUAI,Technology,Software - Infrastructure,NASDAQ,7369886,6.99,248.65,0,0,-25.99,653.5,84.3,10.8,18.8,29.5,41.3,99,99,99,99,99.9,1,1,1,1,1,5,624437740.7672067,106559339.0,0.2577,-0.825,9226650,7111666,4,99.2,-0.4,2026-09-25
15,PURR,Financial Services,Capital Markets,NASDAQ,26313363,13.94,248.26,1,-2,-3.66,354.5,100.0,9.6,13.7,49.4,109.9,99,98,95,86,,1,1,0,0,0,2,2825942436.7935905,200563691.0,1.46,,26466780,18979100,2,93.0,,2026-09-25
16,ABCL,Healthcare,Biotechnology,NASDAQ,6758043,12.31,247.15,1,-2,-6.6,355.0,99.2,6.7,8.0,33.8,124.8,99,98,95,63,94.4,1,1,0,0,0,2,4092718231.7742777,324047363.0,0.1367,-0.763,4619460,6895082,3,87.6,9.1,2026-09-25
17,CDNA,Healthcare,Diagnostics & Research,NASDAQ,1080926,54.31,241.64,0,-8,-1.54,329.8,100.0,14.3,18.0,31.8,125.6,99,99,91,44,98.3,1,1,0,0,1,3,2784853318.8181915,51734223.0,0.1148,0.522,1094030,1206204,3,83.1,12.1,2026-09-25
18,BAND,Technology,Software - Infrastructure,NASDAQ,817480,59.13,235.34,1,2,-25.23,382.3,74.7,16.1,22.4,18.5,72.1,99,98,99,75,97.2,1,1,1,0,0,3,1616440966.5088043,32180788.0,0.147,0.222,1052860,1006262,3,92.3,4.9,2026-09-25
19,OMER,Healthcare,Biotechnology,NASDAQ,2163220,20.74,232.28,1,-14,5.55,391.0,96.3,9.1,7.8,29.1,58.6,99,98,83,94,98.6,1,1,0,0,1,3,1293579267.6706924,72388316.0,0.18270001,,1634380,1880492,3,93.4,2.0,2026-09-25
20,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,599726,51.98,230.97,1,-6,-11.75,309.4,92.1,-1.9,-0.1,18.1,96.1,99,98,91,88,95.8,1,1,0,0,0,2,3842148762.909237,71322607.0,0.1463,,752660,519276,3,93.2,3.8,2026-09-25
21,SYRE,Healthcare,Biotechnology,NASDAQ,1191480,88.17,225.06,0,0,-19.97,457.9,76.6,-3.5,-3.2,-10.7,32.5,99,99,99,98,99.2,1,1,1,1,1,5,7957682020.5,88173762.0,0.1438,,1317510,1110334,4,98.8,0.1,2026-09-25
22,ORKA,Healthcare,Biotechnology,NASDAQ,891446,89.93,224.59,0,0,-22.15,468.0,71.9,-7.8,-8.1,-11.4,37.9,99,99,99,98,98.7,1,1,1,1,1,5,6287272956.42321,66209699.0,0.1714,,1031860,882976,4,98.7,0.3,2026-09-25
