rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,9544041,45.86,567.64,0,0,-67.97,2443.2,33.8,-9.5,-21.8,-45.6,9.1,99,99,99,99,100.0,1,1,1,1,1,5,3742860296.743286,65423184.0,0.17969999,0.391,9021095,9604211,4,99.2,-0.5,2026-07-20
2,ERAS,Healthcare,Biotechnology,NASDAQ,6052348,19.17,446.9,0,0,-21.05,1254.0,82.7,-1.3,5.0,30.1,85.1,99,99,99,99,99.9,1,1,1,1,1,5,5762543776.796139,310984542.0,0.1166,,6128034,5510612,4,99.2,-0.4,2026-07-20
3,INHD,Basic Materials,Steel,NASDAQ,9307840,39.49,416.4,76,53,-99.48,3661.0,0.8,0.0,0.0,73.9,-68.0,99,23,0,0,0.2,1,0,0,0,0,1,178522371.6078415,4520698.0,0.59970003,0.949,0,5765464,0,5.8,18.3,2026-07-20
4,SLS,Healthcare,Biotechnology,NASDAQ,9991865,13.19,390.45,1,0,-16.94,797.5,78.8,-3.8,-0.9,30.0,150.2,99,98,97,98,99.2,1,1,0,1,1,4,2509031689.2456245,196632574.0,0.3233,,8492675,10592367,4,98.1,-0.5,2026-07-20
5,CLYM,Healthcare,Biotechnology,NASDAQ,1532503,12.7,388.74,0,0,-11.9,772.9,85.9,-7.9,-6.5,3.0,85.4,99,99,99,98,99.6,1,1,1,1,1,5,801682322.0,57263023.0,0.1257,,1360459,1275147,4,98.9,-0.1,2026-07-20
6,BAND,Technology,Software - Infrastructure,NASDAQ,1498101,71.81,376.86,1,-5,-9.19,436.7,85.3,-4.7,6.1,12.5,147.7,99,98,92,33,97.7,1,1,0,0,0,2,2416666439.839973,32017307.0,0.1187,0.198,1180005,1324921,3,80.2,13.7,2026-07-20
7,QTTB,Healthcare,Biotechnology,NASDAQ,1878297,15.05,362.37,0,-3,0.2,822.7,67.9,-1.3,8.0,33.1,155.0,99,99,96,89,99.2,1,1,0,0,1,3,190081412.7968359,16956415.0,0.083100006,,4684592,1723824,3,95.8,2.2,2026-07-20
8,EVC,Communication Services,Advertising Agencies,NYSE,1982480,10.69,351.15,0,-11,-22.2,457.1,78.7,-2.8,-5.9,10.2,133.3,99,99,88,89,98.1,1,1,0,0,1,3,1082380777.8660965,92039180.0,0.14310001,1.144,1531802,3451046,2,93.5,3.6,2026-07-20
9,MU,Technology,Semiconductors,NASDAQ,53976409,848.95,330.63,0,-1,-32.35,725.2,68.6,-6.4,-14.3,-7.7,77.9,99,99,98,98,99.4,1,1,1,1,1,5,1106014698987.7625,1129393151.0,0.028099999,3.457,43601467,54410733,4,98.6,0.1,2026-07-20
10,ABVX,Healthcare,Biotechnology,NASDAQ,2278676,136.65,328.8,0,0,-8.18,1221.6,89.8,-4.4,4.9,12.2,14.3,99,99,99,99,99.9,1,1,1,1,1,5,12193777061.113497,87160669.0,0.054899998,0.352,1177430,2364238,4,99.2,-0.5,2026-07-20
11,STTK,Healthcare,Biotechnology,NASDAQ,1849202,7.53,328.02,4,8,-9.6,831.7,85.2,-0.8,3.1,14.6,48.5,99,95,99,99,99.8,1,0,1,1,1,4,634174202.8482842,95508165.0,0.0644,,1573286,1353349,4,98.2,-3.6,2026-07-20
12,ATEX,Communication Services,Telecom Services,NASDAQ,559789,100.35,326.58,1,-3,-10.32,466.4,93.0,-0.5,4.4,30.6,147.3,99,98,94,48,98.0,1,1,0,0,0,2,1968565816.2286148,19498473.0,0.1402,0.41,401188,481219,3,84.5,10.4,2026-07-20
13,MXL,Technology,Semiconductors,NASDAQ,3651585,71.84,326.26,0,-3,-44.01,474.8,53.9,-11.9,-18.9,-17.3,95.4,99,99,96,70,98.5,1,1,0,0,1,3,8175546329.97258,89545959.0,0.0652,0.43,2969057,4353105,3,90.9,6.4,2026-07-20
14,ANRO,Healthcare,Biotechnology,NYSE,653041,27.54,321.27,0,0,-3.17,848.7,91.4,-4.2,-1.4,11.2,39.4,99,99,99,99,99.7,1,1,1,1,1,5,929287515.1352692,35093940.0,0.082100004,,762223,527866,4,99.2,-0.3,2026-07-20
15,ALMS,Healthcare,Biotechnology,NASDAQ,1712598,28.66,319.07,0,0,-8.58,745.3,91.4,-2.1,2.3,16.1,48.0,99,99,99,99,99.5,1,1,1,1,1,5,3609297885.711937,127491980.0,0.19950001,-0.9,1726576,1395519,4,99.1,-0.2,2026-07-20
16,SYRE,Healthcare,Biotechnology,NASDAQ,1696879,100.23,294.93,0,-1,-1.79,556.7,94.6,0.1,3.8,17.4,100.0,99,99,98,91,99.0,1,1,1,0,1,4,8487863882.707069,86841253.0,0.1681,,1384138,1410447,4,96.8,1.7,2026-07-20
17,WDC,Technology,Computer Hardware,NASDAQ,9605356,477.22,287.58,0,0,-40.34,626.8,61.9,-8.2,-16.1,-12.0,55.2,99,99,99,98,99.3,1,1,1,1,1,5,200808371955.8902,344682131.0,0.0732,0.455,7433710,8495474,4,98.8,0.1,2026-07-20
