rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,SVC,Real Estate,REIT - Hotel & Motel,NASDAQ,8407835,8.83,461.83,82,76,187.15,50.2,31.8,2.6,4.4,6.1,-6.9,99,17,11,31,10.7,1,0,0,0,0,1,1119668054.8744931,647206961.0,0.0242,-0.163,9759615,8714869,0,17.4,1.0,2026-07-13
2,MXL,Technology,Semiconductors,NASDAQ,4151749,91.3,447.27,0,-12,-28.84,584.3,66.3,-9.4,-4.8,-1.3,142.9,99,99,87,72,98.9,1,1,0,0,1,3,8338519948.025322,89545959.0,0.0484,0.43,4315887,4911025,2,89.2,6.6,2026-07-13
3,ERAS,Healthcare,Biotechnology,NASDAQ,5862427,18.53,443.44,0,0,-23.68,1187.8,78.3,-3.1,8.4,32.1,84.0,99,99,99,99,99.9,1,1,1,1,1,5,5743884277.203861,310984542.0,0.11359999,,6259062,5662318,4,99.2,-0.5,2026-07-13
4,CLYM,Healthcare,Biotechnology,NASDAQ,1560238,14.0,431.99,0,0,2.26,864.2,93.7,-1.3,4.3,13.9,109.1,99,99,99,96,99.8,1,1,1,0,1,4,738692974.8558903,57263023.0,0.074,,1983276,1289731,4,98.4,0.2,2026-07-13
5,BAND,Technology,Software - Infrastructure,NASDAQ,1550922,75.48,423.58,0,-21,-0.66,475.7,92.9,9.2,21.7,26.3,179.3,99,99,78,26,98.0,1,1,0,0,0,2,1972266062.3454664,32017307.0,0.052199997,0.198,1491657,1517467,2,75.2,17.2,2026-07-13
6,INHD,Basic Materials,Steel,NASDAQ,9324090,39.49,393.1,78,57,-99.48,3661.0,0.8,0.0,0.0,108.4,-72.3,99,21,0,0,0.3,1,0,0,0,0,1,178522371.6078415,4520698.0,0.59830004,0.949,0,6577657,0,5.3,16.6,2026-07-13
7,SLS,Healthcare,Biotechnology,NASDAQ,10760266,12.76,387.27,0,-2,-19.65,807.9,79.9,-8.9,11.1,43.0,168.0,99,99,97,97,99.2,1,1,0,0,1,3,2945555868.508751,196632574.0,0.32349998,,15181560,10159956,4,98.1,0.5,2026-07-13
8,ABVX,Healthcare,Biotechnology,NASDAQ,3229010,139.9,385.65,0,0,-6.0,1544.3,93.2,0.9,17.1,17.5,19.5,99,99,99,99,100.0,1,1,1,1,1,5,11543166283.78537,79800669.0,0.0621,0.352,2805291,2335102,4,99.2,-0.5,2026-07-13
9,EVC,Communication Services,Advertising Agencies,NYSE,2138322,11.76,377.8,0,-13,-13.97,462.6,79.7,-10.2,-1.7,18.8,146.8,99,99,86,91,97.6,1,1,0,0,0,2,1201111316.5550804,92039180.0,0.13270001,1.144,2283088,3458737,3,93.4,3.6,2026-07-13
10,RXT,Technology,Software - Infrastructure,NASDAQ,22333388,5.34,366.98,0,-47,-37.91,1005.1,57.7,-23.8,-27.6,-13.8,101.0,99,99,52,11,95.4,1,1,0,0,0,2,1425552641.9910388,249222499.0,0.16440001,0.019,21397875,29495587,2,64.4,24.1,2026-07-13
