rank,ticker,sector,industry,exchange,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,market_cap,float_shares,short_float_pct,revenue_growth,avg_vol_10d,avg_vol_50d,tf_count_10,avg_pct,shape_score,date
1,TNON,Healthcare,Medical Devices,NASDAQ,2725524,5.21,535.8,97,107,-70.8,3732.1,43.3,-20.3,0.1,93.3,287.0,99,2,12,14,96.7,1,0,0,0,0,1,4555930.959108353,667047.0,0.0139999995,1.268,6407540,10374840,1,31.2,-50.7,2026-08-28
2,QTTB,Healthcare,Biotechnology,NASDAQ,585960,16.18,424.05,0,0,-31.35,872.9,73.5,1.5,2.2,8.9,109.9,99,99,99,95,99.9,1,1,1,0,1,4,475418379.969305,29769466.0,0.1432,,372990,1307740,4,98.2,0.3,2026-08-28
3,ERAS,Healthcare,Biotechnology,NASDAQ,3550573,19.15,420.17,0,0,-21.13,1262.9,85.8,7.4,7.1,8.1,57.0,99,99,99,99,100.0,1,1,1,1,1,5,6166304383.518019,349762035.0,0.0956,,3023920,4662102,4,99.2,-0.5,2026-08-28
4,XHLD,Communication Services,Broadcasting,NASDAQ,6258930,8.55,408.73,89,86,-36.53,938.9,96.5,9.5,63.0,168.6,294.4,99,10,7,5,74.7,1,0,0,0,0,1,91747211.55238724,11977443.0,0.0049,-0.345,1475140,3937346,0,24.2,-31.0,2026-08-28
5,SLS,Healthcare,Biotechnology,NASDAQ,6774830,13.73,402.71,0,0,-13.54,994.2,98.2,9.5,19.9,24.4,136.2,99,99,99,99,99.9,1,1,1,1,1,5,3039939601.5409374,196632574.0,0.2807,,7426840,8638598,4,99.2,-0.4,2026-08-28
6,MRNA,Healthcare,Biotechnology,NASDAQ,20522340,149.66,389.12,7,0,-15.28,538.5,79.2,15.7,57.1,89.7,178.9,99,92,85,96,99.0,1,0,0,0,1,2,57941106519.96399,399235889.0,0.1523,0.021,50996930,16411010,3,93.0,-3.6,2026-08-28
7,CLYM,Healthcare,Biotechnology,NASDAQ,1160103,16.08,382.17,0,0,-11.33,818.3,82.8,-10.5,-0.1,9.7,80.9,99,99,99,99,99.3,1,1,1,1,1,5,992498525.8383464,57436255.0,0.1728,,1402400,1321196,4,99.1,-0.2,2026-08-28
8,FBRX,Healthcare,Biotechnology,NASDAQ,2118420,76.99,379.79,0,-22,-0.27,647.5,100.0,0.1,0.2,42.8,136.6,99,99,77,98,99.6,1,1,0,1,1,4,1632941333.1683807,21229087.0,0.0936,,1854930,1625398,3,93.4,2.1,2026-08-28
9,TWST,Healthcare,Diagnostics & Research,NASDAQ,1626266,150.06,325.99,1,-3,2.83,533.7,100.0,11.0,22.0,45.0,148.3,99,98,94,90,99.0,1,1,0,0,1,3,9129573630.518557,62707424.0,0.2874,0.232,1716490,1784962,4,95.2,1.5,2026-08-28
10,MU,Technology,Semiconductors,NASDAQ,38726886,938.4,300.52,0,0,-25.23,694.4,74.6,-1.7,2.2,-2.3,59.9,99,99,99,98,99.8,1,1,1,1,1,5,1091874743611.47,1129393151.0,0.026500002,3.457,27676930,44219010,4,98.9,-0.2,2026-08-28
11,ORKA,Healthcare,Biotechnology,NASDAQ,871283,99.44,297.19,0,-2,-13.92,552.3,83.2,-8.9,-6.7,2.8,71.6,99,99,97,96,99.4,1,1,0,0,1,3,7147999043.42321,66209699.0,0.17709999,,870100,1246074,4,97.9,0.6,2026-08-28
12,STTK,Healthcare,Biotechnology,NASDAQ,1048966,7.9,293.75,0,-1,-5.16,679.8,94.2,0.4,2.4,9.9,43.4,99,99,98,98,99.6,1,1,1,1,1,5,755735316.1470485,100363253.0,0.065799996,,757400,1358910,4,98.7,-0.0,2026-08-28
13,SMJF,Consumer Cyclical,Textile Manufacturing,NYSE ARCA,1260660,11.33,279.39,8,-4,-1.31,12.2,1.6,-85.3,-83.5,-78.2,,99,91,79,20,,1,0,0,0,0,1,316114045.7725525,27705000.0,0.0481,-0.014,1636240,975696,1,63.3,,2026-08-28
14,QMCO,Technology,Computer Hardware,NASDAQ,1938526,23.21,278.24,10,11,-16.51,446.6,88.3,2.5,25.5,63.9,155.9,99,89,90,9,93.2,1,0,0,0,0,1,876872522.25,39410001.0,0.0614,0.257,1988200,1572776,2,70.3,13.8,2026-08-28
15,TXG,Healthcare,Health Information Services,NASDAQ,3127573,64.26,277.16,0,-6,-1.85,471.9,99.5,4.8,13.9,36.6,135.2,99,99,93,92,98.5,1,1,0,0,1,3,8484561218.015381,130291168.0,0.1759,-0.127,3044260,3278298,4,95.6,2.2,2026-08-28
16,ETON,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,664173,62.62,274.08,0,-9,-2.16,336.7,96.5,0.8,17.8,40.7,132.2,99,99,90,53,95.8,1,1,0,0,0,2,1814171613.3415225,28583135.0,0.0674,0.986,878910,578640,3,84.5,11.7,2026-08-28
17,BIAF,Healthcare,Diagnostics & Research,NASDAQ,6191383,5.09,272.0,97,126,-62.3,1221.1,46.2,178.0,328.2,443.3,216.6,99,2,31,4,1.8,1,0,0,0,0,1,216046.00321933627,540115.0,0.048800003,0.19,18075450,4013010,0,9.7,-3.2,2026-08-28
18,IMMX,Healthcare,Biotechnology,NASDAQ,1708446,14.07,267.47,3,4,2.25,630.1,98.7,9.6,24.5,36.4,74.5,99,96,97,99,99.5,1,0,0,1,1,3,972454719.7972755,71189951.0,0.1612,,1664220,1990866,4,97.9,-2.4,2026-08-28
19,DFTX,Healthcare,Biotechnology,NASDAQ,2027546,43.77,260.79,0,-4,-11.93,393.5,88.3,-1.7,-0.7,1.4,81.7,99,99,95,95,97.8,1,1,0,0,0,2,6034419703.997231,134366950.0,0.081499994,,1802110,3139386,4,96.7,1.8,2026-08-28
20,LITE,Technology,Communication Equipment,NASDAQ,4927706,939.03,258.52,1,2,-13.51,659.8,89.5,6.8,10.6,17.5,43.5,99,98,99,99,99.7,1,1,1,1,1,5,77743888970.94727,89700000.0,0.1216,1.093,4427480,4950266,4,98.9,-1.2,2026-08-28
21,AMLX,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,3276826,37.08,257.69,5,-4,-9.87,296.4,91.8,7.8,30.8,68.3,129.1,99,94,85,96,97.2,1,0,0,0,0,1,4307615018.678192,111423048.0,0.15560001,,5779600,2650714,3,93.0,-1.1,2026-08-28
22,DELL,Technology,Computer Hardware,NYSE,5637856,463.82,254.74,0,0,-9.76,325.2,94.2,3.2,3.7,9.2,94.2,99,99,99,78,95.9,1,1,1,0,0,3,285646635894.0111,646142428.0,0.0436,0.875,4992150,6644514,3,93.0,5.7,2026-08-28
23,CDNA,Healthcare,Diagnostics & Research,NASDAQ,1296430,50.96,254.38,1,-16,2.41,311.3,100.0,8.7,10.7,38.4,117.7,99,98,81,57,97.3,1,1,0,0,0,2,2514800611.606064,51734223.0,0.120799996,0.522,1094900,1171368,2,83.3,10.2,2026-08-28
24,ABCL,Healthcare,Biotechnology,NASDAQ,8654703,12.24,252.53,18,31,0.74,346.0,99.0,6.6,28.0,60.1,152.6,99,81,94,73,92.3,1,0,0,0,0,1,3668216050.268593,324047363.0,0.2041,-0.763,9241730,8345324,2,85.1,-5.3,2026-08-28
25,SYRE,Healthcare,Biotechnology,NASDAQ,926763,93.61,249.11,0,-1,-15.04,531.7,83.7,-10.0,-9.3,-4.9,56.0,99,99,98,95,98.9,1,1,1,0,1,4,9389623727.020523,88173762.0,0.14729999,,1048570,1333106,4,97.7,1.0,2026-08-28
26,BFLY,Healthcare,Medical Devices,NYSE,6594033,8.64,248.09,1,-5,-14.03,481.3,88.0,-3.2,-1.6,8.2,74.9,99,98,92,90,98.7,1,1,0,0,1,3,2543023548.439868,266285183.0,0.1528,0.395,4657880,9079872,4,94.7,1.8,2026-08-28
27,RVMD,Healthcare,Biotechnology,NASDAQ,1779740,215.44,246.88,0,-2,-2.22,482.4,100.0,4.0,7.6,15.3,70.4,99,99,97,96,99.2,1,1,0,0,1,3,44894907553.30624,214336418.0,0.056799997,,1734760,2359354,4,97.8,0.7,2026-08-28
28,DRTS,Healthcare,Biotechnology,NASDAQ,559626,14.96,244.06,1,-1,-0.4,340.8,98.7,1.7,6.5,16.0,74.9,99,98,96,96,98.1,1,1,0,0,1,3,1379774064.7355232,92478154.0,0.0517,,505910,660530,4,97.0,0.5,2026-08-28
29,REPL,Healthcare,Biotechnology,NASDAQ,6447756,15.88,242.13,6,-12,1.11,817.6,98.0,3.4,11.3,33.4,85.7,98,92,74,21,91.6,1,0,0,0,0,1,1391624037.3103256,94219634.0,0.5795,,2989580,5133216,2,69.7,16.2,2026-08-28
30,AAOI,Technology,Communication Equipment,NASDAQ,11599416,113.76,237.18,4,9,-51.32,481.2,46.1,-10.1,-10.1,-8.5,14.4,98,94,99,99,98.4,1,0,1,1,1,4,10555932136.531515,84569237.0,0.12810001,0.864,11513050,11337356,4,97.6,-3.7,2026-08-28
31,ABSI,Healthcare,Biotechnology,NASDAQ,2845536,9.22,236.8,1,0,-23.52,309.6,76.4,1.1,4.4,2.4,84.6,98,97,96,27,96.3,1,0,0,0,0,1,1638913828.2327747,171614010.0,0.2687,-0.464,2639300,4862304,3,79.1,14.5,2026-08-28
